end,start_ms,end_ms,duration_ms,minimum_signed_gap_mm,peak_normal_force_N,tangential_impulse_Ns,force_attribution,same_end_recontact
HEAD,8.124999701976776,8.124999701976776,0.0,0.005408611961508325,0.008898177184164524,,exclusive end,False
TAIL,10.924999602138996,10.924999602138996,0.0,0.0003160676759965675,0.0687878429889679,,exclusive end,False
TAIL,13.074999675154686,13.650000095367432,0.5750004202127457,-0.000938816613796245,0.00037027665530331433,3.784010728034439e-09,exclusive end,True
TAIL,15.87500050663948,15.87500050663948,0.0,-0.0003035880543333924,0.4321447014808655,,exclusive end,True
TAIL,17.224999144673347,17.224999144673347,0.0,-0.0007990915531211895,0.026527272537350655,,exclusive end,True
TAIL,17.625000327825546,18.60000006854534,0.9749997407197952,-0.0013318843026728366,0.00543658621609211,1.0261591658274343e-08,exclusive end,True
HEAD,21.22499980032444,21.22499980032444,0.0,0.009760478288057484,,,overlap; exclusive samples only,False
TAIL,21.22499980032444,21.22499980032444,0.0,-0.0013277460755274362,,,overlap; exclusive samples only,False
TAIL,22.199999541044235,22.199999541044235,0.0,-0.000692613586876778,0.03490365669131279,,exclusive end,True
TAIL,22.749999538064003,23.05000089108944,0.3000013530254364,-0.003667957845550185,0.3049054443836212,7.225260883568627e-08,exclusive end,True
TAIL,23.900000378489494,23.97499978542328,0.07499940693378448,-0.0015323245541585262,0.0005422941758297384,6.106933706880637e-10,exclusive end,True
TAIL,24.399999529123306,24.399999529123306,0.0,-0.004076257035966369,0.003321112133562565,,exclusive end,True
TAIL,24.824999272823334,24.824999272823334,0.0,-0.0021976297363393016,0.01581496372818947,,exclusive end,True
TAIL,25.499999523162842,25.499999523162842,0.0,-0.0009166131069728856,0.107785664498806,,exclusive end,True
TAIL,25.824999436736107,25.824999436736107,0.0,-0.0025169126016036936,0.03979974985122681,,exclusive end,True
TAIL,26.17499977350235,26.225000619888306,0.05000084638595581,-0.004657615606078247,0.000915126409381628,7.288905554056751e-10,exclusive end,True
TAIL,26.42500028014183,27.574999257922173,1.149998977780342,-0.002438956217589494,0.034463945776224136,2.4351120894512813e-08,exclusive end,True
TAIL,30.424999073147774,30.424999073147774,0.0,-0.0020343498020277684,0.012234887108206749,,exclusive end,True
TAIL,31.575001776218414,31.599998474121094,0.024996697902679443,-0.002565128609070655,0.0003151801647618413,1.8462864272875774e-10,exclusive end,True
TAIL,31.800001859664917,31.925000250339508,0.12499839067459106,-0.00197306922444751,0.0012478722492232919,2.7043567456855775e-09,exclusive end,True
TAIL,32.12499991059303,32.15000033378601,0.025000423192977905,-0.003332644239618432,0.00015725780394859612,1.1479720487397936e-10,exclusive end,True
HEAD,32.40000084042549,32.40000084042549,0.0,0.011140721307632884,,,overlap; exclusive samples only,False
TAIL,32.40000084042549,32.40000084042549,0.0,0.0005174544061379294,,,overlap; exclusive samples only,False
TAIL,34.974999725818634,34.974999725818634,0.0,-0.000229058626595946,0.008521017618477345,,exclusive end,True
TAIL,35.349998623132706,35.54999828338623,0.19999966025352478,-0.0035720081056193065,0.023371465504169464,1.4890203599884607e-08,exclusive end,True
TAIL,35.82499921321869,35.82499921321869,0.0,-0.004551226543465292,0.0243939571082592,,exclusive end,True
TAIL,36.04999929666519,36.32500022649765,0.2750009298324585,-0.0010778376772451193,0.0007140971720218658,3.656173220993234e-09,exclusive end,True
TAIL,36.4999994635582,37.324998527765274,0.824999064207077,-0.0011814684247999363,0.0006499161827377975,1.3430741035172378e-08,overlap; exclusive samples only,True
HEAD,37.174999713897705,37.324998527765274,0.14999881386756897,0.009838955644336123,0.0,0.0,overlap; exclusive samples only,False
TAIL,39.07499834895134,39.07499834895134,0.0,-0.00024082617992160493,0.03044973313808441,,exclusive end,False
TAIL,40.699999779462814,40.800001472234726,0.10000169277191162,-0.005614879284443264,0.04790526255965233,3.153501577511826e-08,exclusive end,True
TAIL,41.12499952316284,42.27500036358833,1.1500008404254913,-0.002836868376150159,0.02287614718079567,1.7998131794996086e-08,exclusive end,True
HEAD,42.47500002384186,42.55000129342079,0.07500126957893372,0.002789377358058176,,,overlap; exclusive samples only,False
TAIL,42.47500002384186,42.55000129342079,0.07500126957893372,-0.002000244845761334,,,overlap; exclusive samples only,False
TAIL,45.57500034570694,45.57500034570694,0.0,-0.0025774712833291913,0.0011132939253002405,,exclusive end,True
TAIL,45.875001698732376,45.875001698732376,0.0,-0.0009389492541177491,0.02385125495493412,,exclusive end,True
TAIL,46.12499848008156,47.35000059008598,1.225002110004425,-0.0018841095188348866,0.00247932318598032,2.151756685983766e-08,overlap; exclusive samples only,True
HEAD,47.325000166893005,47.35000059008598,0.025000423192977905,0.010733374911158,,,overlap; exclusive samples only,False
